Stock_Name,Yahoo_Symbol
PVR INOX Ltd.,PVRINOX.NS
Page Industries Ltd.,PAGEIND.NS
Paradeep Phosphates Ltd.,PARADEEP.NS
Patanjali Foods Ltd.,PATANJALI.NS
Persistent Systems Ltd.,PERSISTENT.NS
Petronet LNG Ltd.,PETRONET.NS
Pfizer Ltd.,PFIZER.NS
Phoenix Mills Ltd.,PHOENIXLTD.NS
Physicswallah Ltd.,PWL.NS
Pidilite Industries Ltd.,PIDILITIND.NS
Pine Labs Ltd.,PINELABS.NS
Piramal Finance Ltd.,PIRAMALFIN.NS
Piramal Pharma Ltd.,PPLPHARMA.NS
Poly Medicure Ltd.,POLYMED.NS
Polycab India Ltd.,POLYCAB.NS
Poonawalla Fincorp Ltd.,POONAWALLA.NS
Power Finance Corporation Ltd.,PFC.NS
Power Grid Corporation of India Ltd.,POWERGRID.NS
Premier Energies Ltd.,PREMIERENE.NS
Prestige Estates Projects Ltd.,PRESTIGE.NS
Prime Focus Ltd.,PFOCUS.NS
Punjab National Bank,PNB.NS
R R Kabel Ltd.,RRKABEL.NS
RBL Bank Ltd.,RBLBANK.NS
REC Ltd.,RECLTD.NS
RHI MAGNESITA INDIA LTD.,RHIM.NS
RITES Ltd.,RITES.NS
Radico Khaitan Ltd,RADICO.NS
Rail Vikas Nigam Ltd.,RVNL.NS
Railtel Corporation Of India Ltd.,RAILTEL.NS
Rainbow Childrens Medicare Ltd.,RAINBOW.NS
Ramkrishna Forgings Ltd.,RKFORGE.NS
Redington Ltd.,REDINGTON.NS
Reliance Industries Ltd.,RELIANCE.NS
Reliance Power Ltd.,RPOWER.NS
SBFC Finance Ltd.,SBFC.NS
SBI Cards and Payment Services Ltd.,SBICARD.NS
SBI Life Insurance Company Ltd.,SBILIFE.NS
SJVN Ltd.,SJVN.NS
SRF Ltd.,SRF.NS
Sagility Ltd.,SAGILITY.NS
Sai Life Sciences Ltd.,SAILIFE.NS
Sammaan Capital Ltd.,SAMMAANCAP.NS
Samvardhana Motherson International Ltd.,MOTHERSON.NS
Sapphire Foods India Ltd.,SAPPHIRE.NS
Sarda Energy and Minerals Ltd.,SARDAEN.NS
Saregama India Ltd,SAREGAMA.NS
Schaeffler India Ltd.,SCHAEFFLER.NS
Schneider Electric Infrastructure Ltd.,SCHNEIDER.NS
Shipping Corporation of India Ltd.,SCI.NS
Shree Cement Ltd.,SHREECEM.NS
Shriram Finance Ltd.,SHRIRAMFIN.NS
Shyam Metalics and Energy Ltd.,SHYAMMETL.NS
Siemens Energy India Ltd.,ENRIN.NS
Siemens Ltd.,SIEMENS.NS
Signatureglobal (India) Ltd.,SIGNATURE.NS
Sobha Ltd.,SOBHA.NS
Solar Industries India Ltd.,SOLARINDS.NS
Sona BLW Precision Forgings Ltd.,SONACOMS.NS
Sonata Software Ltd.,SONATSOFTW.NS
Star Health and Allied Insurance Company Ltd.,STARHEALTH.NS
State Bank of India,SBIN.NS
Steel Authority of India Ltd.,SAIL.NS
Sumitomo Chemical India Ltd.,SUMICHEM.NS
Sun Pharmaceutical Industries Ltd.,SUNPHARMA.NS
Sun TV Network Ltd.,SUNTV.NS
Sundaram Finance Ltd.,SUNDARMFIN.NS
Supreme Industries Ltd.,SUPREMEIND.NS
Supreme Petrochem Ltd.,SPLPETRO.NS
Suzlon Energy Ltd.,SUZLON.NS
Swan Corp Ltd.,SWANCORP.NS
Swiggy Ltd.,SWIGGY.NS
Syngene International Ltd.,SYNGENE.NS
Syrma SGS Technology Ltd.,SYRMA.NS
TBO Tek Ltd.,TBOTEK.NS
TVS Motor Company Ltd.,TVSMOTOR.NS
Tata Capital Ltd.,TATACAP.NS
Tata Chemicals Ltd.,TATACHEM.NS
Tata Communications Ltd.,TATACOMM.NS
Tata Consultancy Services Ltd.,TCS.NS
Tata Consumer Products Ltd.,TATACONSUM.NS
Tata Elxsi Ltd.,TATAELXSI.NS
Tata Investment Corporation Ltd.,TATAINVEST.NS
Tata Motors Ltd.,TMCV.NS
Tata Motors Passenger Vehicles Ltd.,TMPV.NS
Tata Power Co. Ltd.,TATAPOWER.NS
Tata Steel Ltd.,TATASTEEL.NS
Tata Technologies Ltd.,TATATECH.NS
Tata Teleservices (Maharashtra) Ltd.,TTML.NS
Tech Mahindra Ltd.,TECHM.NS
Techno Electric & Engineering Company Ltd.,TECHNOE.NS
Tega Industries Ltd.,TEGA.NS
Tejas Networks Ltd.,TEJASNET.NS
Tenneco Clean Air India Ltd.,TENNIND.NS
The New India Assurance Company Ltd.,NIACL.NS
The Ramco Cements Ltd.,RAMCOCEM.NS
Thermax Ltd.,THERMAX.NS
Timken India Ltd.,TIMKEN.NS
Titagarh Rail Systems Ltd.,TITAGARH.NS
Titan Company Ltd.,TITAN.NS
